poetry,fiction,correspondence/journal,essays,musings,reviews,viscera,pith,funny,tidbit,Text,date,collection,blog,poem,form,tone
x,,,,,,,,,,"To Chuck
if you are still alive
in some wallpapered room
intubated or lying unturned,
I beg of you to
speak a word or two
through these dim passages
and ease the frayed connection

what did you give my mother
to give to me

where did you wrongly go
at the point of veering

and what do you know?
can you solve a difficult puzzle
in less than the average time?
have you committed whole works to memory?

and are you large in your old age,
ungainly and unsure of foot?

do you feel the weight of all this,
of the many errors,
the horrid glimpses of possibility?

maybe you have a little book of poems
and that's enough for you,
as it is for me.

maybe a fleshless hand winds the
dark-jeweled mechanism
to mark the turning
of your cold notches into mine",20260322,,x,"to chuck
if you are still alive
in some wallpapered room
intubated or lying unturned,
I beg of you to
speak a word or two
through these dim passages
and ease the frayed connection

what did you give my mother
to give to me

where did you wrongly go
at the point of veering

and what do you know?
can you solve a difficult puzzle
in less than the average time?
have you committed whole works to memory?

and are you large in your old age,
ungainly and unsure of foot?

do you feel the weight of all this,
of the many errors,
the horrid glimpses of possibility?

maybe you have a little book of poems
and that's enough for you,
as it is for me.

maybe a fleshless hand winds the
dark-jeweled mechanism
to mark the turning
of your cold notches into mine",,
,,,,,,,x,x,,my brain jury was rigged by the prosecution,20260318,,x,,,
,,x,,x,,,,,,"the traditional masculinity grift works because, as flawed as it is, it restores a sense both of rootedness and also of aspirational momentum against ""progressive"" deconstruction of norms",20260318,,x,,,
,,,,x,,,,,,"going off meds for that four month period confirmed what I had hoped but doubted was the case, namely that I am a creative person. the drug is simply a prism or mold that recasts my (sub)conscious material, but does not fundamentally alter it; rather it enables the material that is me to take a certain shape it otherwise wouldn't, and perhaps a better one",20260313,,x,,,
,,,,,,,x,,,"knowledge is an adding, wisdom is a stripping away",20260313,,x,,,
,,,,x,,,,,,"the demolition of pruitt-igoe is akin to me, my monumental emptiness, my formal lines, austere distance, skip stop , and the proximity to nothing. the 33 shells of my years.",20260304,,x,,,
,,,,x,x,,,,,"bumfights is the libidnal fracture line in the concrete slab of the sub-urban inter-net, which was an off-world build site in a pine-bound clearing, with pre fab inventories to stage violence on, red-clay tire tracks hyperlinked to purple contusions",20260303,,x,,,
,,,,,,,,,,"I saw death in a Buick Lesabre
parked outside the restaurant
his hair was white and floated serenely
around his soft old face

His mouth was agape, breath was labored
idling in the parking lot
I saw him through the windshield sleeping
sleeping like a child

and in that face
I thought I sensed a long-forgotten friend",20260303,,x,"I saw death in a Buick Lesabre
parked outside the restaurant
his hair was white and floated serenely
around his soft old face

His mouth was agape, breath was labored
idling in the parking lot
I saw him through the windshield sleeping
sleeping like a child

and in that face
I thought I sensed a long-forgotten friend",,
,,,,x,,,,,,"I am a person-shaped mirror. I need a real person, a solid object to give me a body and eyes",20260303,,x,,,
x,,,,,,,,,,"the 10 billion names of God
are recorded in a manual
with diagrams of instruments

unassembleable,
these small machines are oddly-
numbered and exploded

the fittings pass electrically
and are corroded

Build! the stuttering baggage carts
and a second-headed woman
singing Chinese harmonies
on a whiteish slab. Build!

I think there to be 
a light in the oldest buildings
that hovers and grows
from strands of energy 

that people shed in passing through or living there
it drifts like hair
to clump the spirit drain

what it produces 
is a source of power

the orbs that Galileo dropped from 
his leaning tower
were two of them
two of the names that he knew
of the many that he knew
(Jupiter, Saturn)
and he bore one himself

***

the fat baby
shakes fortuna's
rattle
flaking lead

it's in the drinking water of 
ne'er-do wells who
think to make God
by piecen piece
who take the plans and follow them,
concatechant

and the fat baby gurgles in the dark old buildings
and the sound brings dragons 
in gonging spasmody

and the sound brings women dancing
and the promise of warmth 
and a name to say

flying machines once went like pterodactyls overhead
and roosted on the tenements
the patent office was a rattling cave
from coconut trams

Adam patented Eve;
Cain knew 5 billion names;
I think there is a spiritual appendage,
like Samson
I think there is a gathering place,
like the Alleghany
it has a cold mouth to say it:
Build! Build! Build! ",20260302,,x,"the 10 billion names of God
are recorded in a manual
with diagrams of instruments

unassembleable,
these small machines are oddly-
numbered and exploded

the fittings pass electrically
and are corroded

Build! the stuttering baggage carts
and a second-headed woman
singing Chinese harmonies
on a whiteish slab. Build!

I think there to be 
a light in the oldest buildings
that hovers and grows
from strands of energy 

that people shed in passing through or living there
it drifts like hair
to clump the spirit drain

what it produces 
is a source of power

the orbs that Galileo dropped from 
his leaning tower
were two of them
two of the names that he knew
of the many that he knew
(Jupiter, Saturn)
and he bore one himself

Then:
the fat baby
shakes fortuna's
rattle
flaking lead

Then:
ne'er-do wells take the plans and build them
thinking to make God
by piecen piece
they concatenate (forsooth
theremin flouthering
mallowseeds
ardent ten ten passphrase)

and the fat baby gurgles in the dark old buildings
and the sound brings dragons 
in gonging spasmody

and the sound brings women dancing
and the promise of warmth 
and a name to say

flying machines once went like pterodactyls overhead
and roosted on the tenements
the patent office was a rattling cave
from coconut trams

Adam patented Eve;
Cain knew 5 billion names;
I think there is a spiritual appendage,
like Samson
I think there is a gathering place,
like the Alleghany
it has a cold mouth to say it:
Build! Build! Build! ",,
,,,,x,x,,,,,"""Purity"" by Ligotti
there is no pure conception.
the impurities that the father seeks to siphon off--country, deities, and family--are the mind itself, a hermaphroditic and murderous ""field of forces.""
this is the hauntological self, generating categories of second-hand horror, enclosed in rented-out vessels that cannot be known.",20260228,,x,,,
,,,,x,,,,,,"regarding addiction as allergic response to self
i think the allergy metaphor is apt. guided self-reflection is a kind of immunotherapy in that sense, exposing yourself to yourself gradually to build tolerance.... so you don't need the ""epipen"" (i.e., the drug, the substance)",20260226,,x,,,
,,,,x,,,,,,"what passes for poetry now is often nothing more a series of sterile declaratives, an inventory of material conditions. it has become autistic, poetry has, when it ought to be manic, or at the very least depressive. it should cry out in joy or fear, it should plead, it should divulge dark incoherences and blinding continuities.",20260224,,x,,,
,x,,,,,,,,,"the story goes that there is a company of miscreants who use music to entrance all who listen, and in so doing, recruit them to untoward ends, such as performing robberies and drug transactions on their behalf. this enriches the band greatly. and so their influence grows.",20260220,,x,,,
,,,,x,,,,,,trampoline jump mat is perception; springs are propositions about the self; the enclosure net is the collective; the jumper is Will-to-Bounce. ,20260218,,x,,,
,,,,x,,,,,,"the saul-david saga could be read as an allegory for the shift from bi to unicameral. saul's schizoaffective turn represents the death throes of the god voice, supplanted by the shepherd poet (note: agriculture and writing are what supposedly eventuated the shift to unicamerality), prefiguring the unitive Godman.

(thanks to K.)",20260215,,x,,,
,x,,,,,,,,,"Tiberius looked up squinting in the low sun. Sitting on a trailside log, he chewed his sandwich, then addressed The Moppy Headed Man beside him. ""knock it off.""

""what.""

""with the glibness.""

""me? I'm glib, yeah. Okay. you're the glib one.""

""see,"" Tiberius swallowed, ""and that's it right there.""

The Moppy Headed Man thumbed his nose and yawned.

""See, again. you can't help it. everything you do is so acted out and-"" he minced, ""per-fect-ly askew.""

TMHM slackened his face retardedly, tongue protruding.

""it's like a lace doily, placed ironically. Placed too consciously. Somewhat."" He struggled. ""It's like a lace doily on a minifridge""

""Okay,"" TMHM laughed, ""first of all, you don't know what glib means. You also don't know what shrill means, you misuse that one all the time too. You use words in a vague way and think it's cool somehow. Also-""

Tiberius tossed his crust, ""Also?""

""A doily? If you can't, you know, pull the right image, settle for a cliche. You don't have to be inventive at all times.""

""Buddy, if I were trying to be inventive, you'd know. Glib is, a kind of slickness, or- or coyness..""

""It's neither of those things.""

""It's both of them and it's what you are. Finish the sandwich-- and stop showing me your fucking mouth like that.""

TMF hawked his bolus and displayed. They got up from the log and continued down the path, which was publicly maintained and cut through a tract of state-owned pine and scrub.

When the two had done their weekly loop, they smoked at the cars, and drove off to their homes on opposite sides of town, where each would look at their phones until sleep came, if it came, and sometimes it did not, which was the case tonight for Tiberius, wincing at blunders, missed cues, and unsaid rejoinders that his younger self would have seized upon. That was getting older, anyhow, missing more and more of it, slowing down and gearing up for the long interminable stretches. It was conservation, he thought dubiously, storing up soul; and it was additive too, wisdom gained in greater measure than faculties lost. This was what one would be judged on in the last moments--the accumulated weight of meaningful silences. Words, if anything, were deductions from that total, and evinced attachments to category which--Tiberius gestured in the darkness--held one back on the final day. Yes, that was it; these failings of mind were instruments of grace, a sacramental beckoning-toward-void. The temple must needs be desecrated that a new and loftier one might rise; this was no tragedy, or it was, but in the highest sense--like Christ and Him crucified. And every slip or lost foothold along that road to Calvary, every lash of senility's whip, was the purgation of a piece of one's consciousness, which was the original sin--to Know--whose hissing enticements had turned us to snakes. Only once the scales of knowledge had been sloughed off, naked of mind and raw of spirit, could we rise to hind legs once more, with arms outstretched in grinning cruciform, and lumber back into the primaeval garden that was our just ape's inheritance. And- and that was how it was.

Satisfied with that, Tiberius rolled over. ""Glib,"" he muttered serenely.",20260213,,x,,,
,,,,,,,,x,,"Candyflipped God' goes gnomemode at Kroger, cavorts smallstyle.
""He should not be here, in the produce bins,"" authorities say.",20260212,,x,,,
x,,,,,,,,,,"Rondo Veneziano (La Serinissima)

the earth is being disassembled 
 taken down to parts

the Eiffel tower,
a system of rails,
the body of ancient letters

each will be given
a musical phrase or unique string
compressed to lossy format
to aid in memory

in small squeaking spheres
packaged by symbol-set
the world is stripped down for storage
it will be context-rich

it will be transported
over many eons
to a prior point
in the workflow",20260211,,x,"the earth is being disassembled 
taken down to parts

the Eiffel tower
a system of rails,
the body of ancient letters

each will be given
a musical phrase or unique string
compressed to lossy format
to aid in memory

in small squeaking spheres
packaged by symbol-set
the world is being stripped down for storage
it will be context-rich

it will be transported
over many eons
to a prior point in the workflow",,
x,,,,,,,,,,"this is what I can manage
and the best I can do
sifting refuse on the dais
til the old cow lows

barely connected, 
my thoughts do not assign themselves properly;
faces on screens appear strange
and distances grow 
weirdly on a fourth axis

or a fifth one
that some severe Father
might call insight

collapse, collapse
fall in
return and become sensible

but this is what I can manage
from my high remove
restrained like Tityos
atop my heap

dumbly entreating 
the carrion birds to shoo, shoo
to fetch me smokes
the size of cedar trees

only those will do me
a phat Phokian dart
to clear my giant head

oh

who will milk her swollen udders,
who will relieve them,
the leaking teats of the lowing cow
that grazes,
save me?

[derivative, feckless, and lacking in
merit,
who will number among footnotes
least among them
as a minor mythic figure
with arms that could not reach?]",20260211,,x,"this is what I can manage
and the best I can do
sifting refuse on the dais
til the old cow lows

barely connected, 
my thoughts do not assign themselves properly;
faces on screens appear strange
and distances grow 
weirdly on a fourth axis

or a fifth one
that some severe Father
might call insight

collapse, collapse
fall in
return and become sensible

but this is what I can manage
from my high remove
restrained like Tityos
atop my heap

dumbly entreating 
the carrion birds to shoo, shoo
to fetch me smokes
the size of cedar trees

only those will do me
a phat Phokian dart
to clear my swollen head

oh
who will milk her swollen udders,
who will relieve them,
the leaking teats of the lowing cow
that grazes,
save me?

derivative, feckless, and lacking in merit,
who will number among footnotes
least among them
as a minor mythic figure
with arms that could not reach?",,
,,,,x,,,x,,,"the ""center"" is a position defined by extremes. shift the extremes and you shift the center. (see the Overton Window). there is no neutrality.",20260210,,x,,,
,,,,x,,,,,x,"solarpunk is an emerging ecofuturist movement that seeks to integrate human technologies with the natural world, based on principles of ecological sustainability, cross cultural awareness, and communal practice. Its utopian vision of a ""Symbiocene"" wherein civilizational infrastructures are congruent with, dependent upon, and consciously consititutive of the organic systems that gave rise to them may seem starry-eyed, but proponents point to the many hidden technologies that indigenous populations have used for millenia to supply necessities through mutually productive (rather than merely extractive) means--to wit, irrigation techniques, living bridges, and other examples of biotechnics that are replicable, repairable, and sustainable without reliance upon industrial mechanisms. this would, of course demand a paradigmatic shift toward small-scale, long-term planningz rather than the massive myopic emdeavors that have defined the post-industrial anthropocene. it's a compelling vision, but its feasibility in a world that is precariously and radically reliant upon the extraction of hard-to-come-by resources is dubious, absent some precipitating ELE that demands/necessitates a reorientation of such magnitude. for now, its the realm of sci fi writers, the self-proclaimed ecotects, and hopelessly optimistic theorists who dare to dream.

simply put: solarpunk is an aesthetic, ecological, and communitarian movement that imagines a future wherein our collective cosmotechnics are Earth-aligned such that human life functions toward the betterment of, and not at the expense of, other forms of life, a goal best acheived by symbiotic (re)design.",20260210,,x,,,
,,,,,,,x,x,,"it's not the size of the flask, it's the motion of the potion",20260208,,x,,,
,,,,x,,,,,,"""man is key; woman is lock."" FALSE (or at least, not TRUE until the inverse has been realized). woman is the key that activates man and the will of man.
all is done for her, and nothing is done without her. the infrastructures, the systems, the great works, the whole set of human acheivements.... they are offerings to the Woman. which, yes, in turn, may yet unlock her love. 
(thus, God is a woman, as is Country. they must be, otherwise what is the point?)",20260204,,x,,,
,,,,x,,,,,,"in imagination, one delivers an impassioned defense of one's position inlaid with incisive takedowns whilst the interlocutor fumbles and blushes and onlookers murmur..
in reality one sits hunched on the porch overlooking the scum-green community pool, mouth fixed in a dumb smile",20260203,,x,,,
x,,,,,,,,,,"the sharp blue day
holds smoke and
amplifies noises 
on the forest floor and above it

these hard-packed corridors 
to nestled-in convenience stores 
where ancient items
are priced by
depth of dust",20260205,,x,"the sharp blue day
holds smoke and
amplifies noises 
on the forest floor and above it

these hard-packed corridors 
to nestled-in convenience stores 
where ancient items
are priced by
depth of dust",freeverse,
,,,,,,,x,x,,finally came to that bridge I said I would cross when I came to it,20260203,,x,,,
x,,,,x,,,,,,"oh yes, and my youth is long gone, but feh! Feh! what strength to pump my gas in a vague haze of worry, and to purchase six beers unsmilingly.  and my house is shrinking,,  to the size of a cradle.
and beers are a force field  to my abjectness, and coffee. and cigarettes by the several",20260203,,x,"oh yes and 
my youth is long gone 
but feh! Feh! what strength to pump my gas 
in a vague haze of worry
and to purchase six beers unsmilingly.  

and my house is shrinking
to the size of a cradle.",freeverse,
,,,,x,,,,,,"some people say that ssris blunt affect and limit one's emotional range, that they deprive one of the means to spiritual growth by suppressing inner turmoil. but recently, I saw a post on a forum calling them ""enlightenment drugs,"" saying that they cleared the path to sublimity, for certain kinds of people.

I think that's true and I think that I must be that kind of person, because I did nearly all of my best writing and thinking on these drugs, and I grew spiritually by leaps and bounds. 

I've been off them for several months now, and since then have reverted to a decidedly worse version of myself: irascible, dull, morose, unfocused, distant. 

it's been a special kind of hell, one that I've continued to endure for two reasons: 1. sex (embarrassingly and very unenlightened-ly), and 2. a deep desire to shed dependencies of all kinds.

i tell myself, well, I've lost the things that I treasured most about myself, but they were never mine to begin with it. it's good that I have lost them; it's good for my ego to suffer this deprivation; I will adapt, I will do what I can with the bare stuff nature has afforded me. 

and there's something to that maybe. with counseling, with lifestyle changes, with tremendous and prolonged effort, I could possibly rebuild a stable creative core-- backward engineer my way to the tranquility, clarity, and playfulness of my medicated self-- something comparable to it, or maybe even better. 

maybe maybe. but likely not. life is short; mental faculties fade; my time is limited. 
if meds grant me a shortcut to self-potentiation/-realization, if they help me access and activate my fast-waning capacities, isn't it foolish to spurn them for the sake of false dignity or existential parsimony?

isn't it my sacred duty, to the extent I have a duty at all, to wring myself dry--to make everything I can make by whatever means before insensate darkness reclaims my deathbound matter?

I do not know. what I know is this: there's fuel left in the tank. but the ignition system is compromised, and the electrical reservoirs are drained. automatic means of reinvigoration are readily available, but I stubbornly, futilely insist on hand-cranking. 

maybe I will sit here then, a little roadside monument to waste and stupidity, and gather rust. maybe that is the truest way.",20260131,,x,,,
,,,,x,,,,,,"the creative process is curational and museal. we do not produce or generate the artifacts, but rather inherit them (often questionably), preserve them (often jealously), and recontextualize them (often misleadingly) for display purposes. dark markets keep this whole tenuous circuit open, by way of counterfeiting or downright theft. valuation rises, but only so long as the tacitness of the sordid business is maintained.

(thanks to K.)",20260127,,x,,,
,,,,x,,,,,,"good advice or teaching does not necessarily divulge what is hidden; it hides or sets aside what is merely visible so that the invisible factors at play, long suppressed, can rise to conscious knowledge.
it is a process of removing blockages, not of filling gaps. ",20260124,,x,,,
,,,,,,,x,,,categorical value judgments are the recourse of the simple minded or the utterly propagandized.,20260123,,x,,,
,,,,,,x,,,,in the thrall of foul devices,20260131,,x,,,
,,,,x,,,,,,"it just occurred to me that the story of Peter on the waves is a parable for awareness and instructive as regards how to be aware. time is a fluid surface and fears are perturbations in it: the past, the future, and the ""peripheral"" or false present. the only way to water walk is to stay fixed on true present, which is the Messianic moment. salvation is now and only now; the rest is damnation. 

*water walking is en-lighten-ment, in terms of density: to become so light that the physics of fear/desire are nullified.",20260123,,x,,,
,,,,,,x,,x,,mass of peace've shit,20260121,,x,,,
,,,,x,,,,,,"if Christianity is true, why has it been so systematically abused and perverted?
because it is so true.
the malice/derangement of the arsonist does not lessen or profane the power, clarity, and potency of the flame. rather, it attests to it. the greater a system's rapacity for evil, the greater its capacity for good.
imagine an arsonist cabal, a vast and well-organized pyromaniacal complex, that worships fire's destructive capacity, that ritualizes it and exploits it as a form of infrastructural control.
this is, and has been, the Church--the arm that moves the military-industrial finger states. 
Christendom is not Christianity; it stands in deliberate opposition to it (through political sublimation of it).
the Christ came to restore fire to the hearts of man, where it rightly belongs, and to extinguish the smoke-belching machinery of power.
they crucified Him for this; they crucify Him still, and do so in His name.",20260115,,x,,,
,,,,,,,x,,,"eyes are a canvas that the world is drawn upon.

and eyes are mirrors, not gateways. two sets of eyes trained upon the other are a infinite series. they do not ""contain,"" but reflect.

this is what makes the portrait so compelling--it is a broken mirror, turned off. 

the act of drawing eyes, or capturing them, is a recursive act, and an act of finality.",20260114,,x,,,
,,,,x,,,,,,"metal is cartographic, archaeological; it maps out and excavates discrete, cordoned off zones of dark interior (whether chthonic or cosmic or tundral as the sub-sub-genre would have it).
it _takes place_ there over long periods; it feeds there and mutates; it is _situated_, anthropologically and aesthetically and chronologically. there is a scientific precision to its advance, its occult devotion to the Old Names. each passage and chamber is liturgized, each stygian encounter has precedent; death is a matter of record here and fear is technical, an arcane annotation. ",20260107,,x,,,
,,,,,,,,x,,my cylinder (penis) just got graduated (had sex),20260109,,x,,,
,,,,,,,,x,,"the only thing I will ever ""Heil"",  is my beautiful wife,",20260109,,x,,,
,,,,,,,,x,,"the man of perspicacity and Wit anagrammaticizes; to re-form the syntagm in peri-alchemical manner--Chrysopoesis;  to purify, and perfect what is base to what is noble and nobler still:
GINGER!!
see him now at his cucurbits and retorts; he Trans-mutes, though muted is he not a whit",20260109,,x,,,
,,,,,,,,x,,got 1099 problems but  backtax aint one,20260109,,x,,,
,,,,,,,,x,,the real Treasure were the friends we made along the way and stole treasure from,20260109,,x,,,
x,,,,,,,x,,,"your hips are a gibbous summer moon, and I wax full... and no one has landed there nor will.... for it is made of cheese,  projected there by Governments,  to hide fell plans in Space,..  ah! the nightlight stars in hoaxy multitude/ ah! ah! well- streak'd is't w'milky bust",20260109,,x,"your hips are a gibbous summer moon
and I wax full
and no one has landed there nor will
for it is made of cheese,
projected there by Governments
to hide fell plans in Space

ah! the nightlight stars in hoaxy multitude
ah! ah! well-streak'd is't w'milky bust",freeverse,
,,,,,,,x,x,,there is but one racist: the Human Racist,20260109,,x,,,
,,,,,,,,x,,"if you would just commit full-y to some thing, then you would be able be able to see the Very Truth, penetrate to the howling Mind of god, which corruscates :   ""shhhhhhit I fucked up ??,"" ; and the angels will harry you like crowes",20260109,,x,,,
,,,,,,,x,,,tears are the lubricant of change,20260106,,x,,,
,,,,,,,,,,what's a castle's favorite breakfast to have? moat-meal,20260106,,x,,,
,,,,x,,,,,,"symbol is not merely received but enacted and enforced: referent > reference > referee.

we preside in the latter capacity (as referee) over the field of indifferent amoral imageplay, flagging the interactional/infractional instance, imparting to it the weight of meaning and the order of rule.

it is the presence of man-as-official and the act of symbolic officiation that renders life ""gameful"", that grants it the competitive arc, that enables us to ""keep score."" 

and so, symbol is executive and judiciary; it is not legislative. critical as it is to the notion of ""fair play""-- artistically, societally, and in every other way-- symbolic hygiene must be maintained, not by the referee but by some other higher body (the ""Board"") who prunes, appends, and manages the book of signs.

let us say the referee is artisan and maker; let us say the board is priest and king.",20260106,,x,,,
,,,,,,,,x,,bridge over the river Jamiroquai,20260107,,x,,,
,,,,x,,,,,,"corporations are bad because the earth is alive. HOWEVER. the earth is also alive because corporations are bad. if corporations were not bad, which they are, the earth would not be alive, which it is. so corporations can no more be made good than the earth can be made un-alive. and yet each strives to bring the other to that impossible end.

(""because"" has here been deceptively used to mean ""by the same token as that which dictates that"")",20260104,,x,,,
x,,,,,,,,,,"slickbrain hotbrain
bones are in my eyes
the perfidious shyster blocked my way 
to Snoreland
he wore a baggy coat that jangled
he wore a funny hat

copper nebulae bloom in
darkroom leerlight
shrounds! the chalky taste of moon

sawtooth shardmouth the down down stairwell
pennyskint and hardbound
to yawning
tartarus",20251221,,x,,,
,,,,x,,,,,," all modern medicine operates under the palliative paradigm, which is to say the physicalist/mechanical paradigm wherein the body is a closed loop machine that can only be, at best, jerry-rigged to extend decommission date. death is hard limit, finito, no permeability. medicine cannot cure; it does not aim to.
ONLY integrated ritual can cure. and it has cured for thousands of years.",20251231,,x,,,
,,,,,,,,,,"when it comes to creativity and creative output, traits are what matter; specialized sets of knowledge and skill have never mattered less.
if one has: vision, curiosity, persistence; then there is virtually nothing they cannot do or produce, given the resources freely at hand. absent vision, one diligently inquires to no end. absent curiosity, one diligently strives against a wall, to a known end but never reaching it, not thinking to find a way around. absent persistence, one gasses out; thoughts and dreams remain so, cleverness notwithstanding.",20251231,,x,,,
,,,,x,,,x,,,"it's better to describe than to name. to describe a thing, you must really see it. to name it is to become blind to it.",20251227,,x,,,
x,,,,,,x,,,,the sun is magma flowing beneath the dark crust of clouds,20251226,,x,the sun is magma flowing beneath the dark crust of clouds,,
,,,,x,,,,,,"art does not convey or contain a message; it is one.
you cannot extract the thing from itself, only subtract or detract. 
so the gourmand, literary cutlery in hand, rends the fragile structure of the whole, finds no satiety in his frowning bites, and with every probing cut ensures his everlasting hunger.",20251226,,x,,,
,,,x,x,,,,,,"fetish runs counter to utility. the expedient trait or object-- the laborer's musculature, or the penitent's whip-- are embedded in causal relations toward an end and are, thus, invisible.
fetish develops in isolation from and excess of this invisible set of utilities. 
it is not the woman's foot that the fetishist worships, but the perverse superfluity of its mechanics as regards the erotic; comorbid with commodity, it is a thing-shaped absence in the active world-set, a waste-product--the form without function of a relic behind glass. museal carnality possesses us; conveying nothing, we are conveyed by belts from wonder to wonder. for viewing pleasure only, do not touch, and semen lubricates the assembly line of desire. ",20251226,,x,,,
x,,,,,,,,,,"at 50 odd knots
from the warm night's prow
a thrum a thrum

the old great motors
furrow Neptune's brow
with their black churn

steel-girt the hull and thousand-tonned,
yet beneath it all, 
a mile's depth, alien to man,
of weightless carnival",20251224,,x,"at 50 odd knots
from the warm night's prow
a thrum a thrum

the old great motors
furrow Neptune's brow
with their black churn

steel-girt the hull and thousand-tonned,
yet beneath it all, 
a mile's depth, alien to man,
of weightless carnival",rhyme,
,,,,x,,,,,,"standing on the aftmost promenade, feeling the bulk and shift of the vessel, this floating Camelot or Sodom, freighted with invention and artifice all the pain-staked articulations of luxury-- blips on radars, anxious headings; a dot upon a dot upon a wide, undifferentiated, inchoate sea.",20251224,,x,,,
,,,,,,,x,,,all social acts are mimicry,20251224,,x,,,
,,,,,,,x,x,,not all who saunter are soused,20251222,,x,,,
